probe set	gene
31517_f_at	basic transcription factor 3, like 2
31518_i_at	basic transcription factor 3, like 3
31519_f_at	basic transcription factor 3, like 3
31520_at	chromobox homolog 2 (Drosophila Pc class)
31521_f_at	H4 histone family, member E
31522_f_at	H2B histone family, member G
31523_f_at	H2B histone family, member H
31524_f_at	H2B histone family, member K
31525_s_at	hemoglobin, alpha 2
31526_f_at	ubiquitin specific protease 6 (Tre-2 oncogene)
31527_at	ribosomal protein S2
31528_f_at	H2B histone family, member E
31529_at	keratin, hair, basic, 3
31530_at	acetyl-Coenzyme A carboxylase beta
31531_g_at	acetyl-Coenzyme A carboxylase beta
31532_at	myelodysplasia syndrome 1
31533_s_at	potassium voltage-gated channel, Shal-related subfamily, member 3
31534_at	zinc finger protein, Y-linked
31535_i_at	Cluster Incl W27858:39e3 Homo sapiens cDNA /gb=W27858 /gi=1307869 /ug=Hs.186617 /len=821
31536_at	reticulon 4
31537_at	ADP-ribosyltransferase 1
31538_at	ribosomal protein, large, P0
31539_r_at	 Cluster Incl L23852:Homo sapiens (clone Z146) retinal mRNA, 3 end and repeat region /cds=(0,241) /gb=L23852 /gi=393126 /ug=Hs.73838 /len=1711'' 
31540_at	tumor necrosis factor receptor superfamily, member 9
31541_at	UV-B repressed sequence, HUR 7
31542_at	filaggrin
31543_at	basic proline-rich protein
31544_at	forkhead box I1
31545_at	SAC2 (suppressor of actin mutations 2, yeast, homolog)-like
31546_at	ribosomal protein L18
31547_at	syntaxin 1B
31548_at	ADP-ribosylarginine hydrolase
31549_at	MAS1 oncogene
31550_at	adrenergic, beta-1-, receptor
31551_at	gamma-aminobutyric acid (GABA) receptor, rho 2
31552_at	 Cluster Incl M28219:Homo sapiens low density lipoprotein receptor (FH 10 mutant causing familial hypercholesterolemia) mRNA, 3 end /cds=(0,182) /gb=M28219 /gi=619785 /ug=Hs.99940 /len=282'' 
31553_at	zinc finger protein 272
31554_at	cholinergic receptor, nicotinic, delta polypeptide
31555_at	homeo box B1
31556_at	 Cluster Incl X61072:Human mRNA for T cell receptor, clone IGRA17 /cds=(0,200) /gb=X61072 /gi=33511 /ug=Hs.99996 /len=353 
31557_at	thymosin, beta 4, X chromosome
31558_at	Hr44 antigen
31559_at	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2
31560_at	interleukin 1 receptor-like 2
31561_at	solute carrier family 9 (sodium/hydrogen exchanger), isoform 2
31562_at	rhodopsin kinase
31563_at	T cell receptor beta variable 10-3
31564_at	 Cluster Incl S65761:anti-colorectal carcinoma heavy chain=glycoprotein CANAG-50 specific IgG1 kappa [human, 19.9 hybridoma, antibody 1116NS19.9, mRNA, 1515 nt] /cds=(44,1420) /gb=S65761 /gi=425517 /ug=Hs.103995 /len=1515 
31565_at	 Cluster Incl S65921:anti-colorectal carcinoma light chain=glycoprotein CANAG-50 specific IgG1 kappa [human, 19.9 hybridoma, antibody 1116NS19.9, mRNA, 998 nt] /cds=(79,789) /gb=S65921 /gi=425519 /ug=Hs.103996 /len=998 
31566_at	Cluster Incl U00956:Human clone KDB5.1 (CAC)n/(GTG)n repeat-containing mRNA /cds=UNKNOWN /gb=U00956 /gi=405058 /ug=Hs.104112 /len=1424
31567_at	 Cluster Incl S82769:GABAA receptor gamma 3 subunit [human, fetal brain, mRNA Partial, 1536 nt] /cds=(32,1435) /gb=S82769 /gi=1754748 /ug=Hs.104133 /len=1536 
31568_at	ribosomal protein S10
31569_at	solute carrier family 1 (glutamate transporter), member 7
31570_at	single-minded (Drosophila) homolog 1
31571_at	polymerase (RNA) III (DNA directed) (32kD)
31572_at	RAGE binding protein
31573_at	ribosomal protein S25
31574_i_at	 Cluster Incl M14087:Human HL14 gene encoding beta-galactoside-binding lectin, 3 end, clone 2 /cds=(0,205) /gb=M14087 /gi=187113 /ug=Hs.113212 /len=229'' 
31575_f_at	 Cluster Incl M14087:Human HL14 gene encoding beta-galactoside-binding lectin, 3 end, clone 2 /cds=(0,205) /gb=M14087 /gi=187113 /ug=Hs.113212 /len=229'' 
31576_at	 Cluster Incl M20919:Human DNA with a hepatitis B virus surface antigen (HBsAg) gene (complete cds) insertion /cds=(0,593) /gb=M20919 /gi=184331 /ug=Hs.113220 /len=594 
31577_at	collagen, type XIX, alpha 1
31578_at	 Cluster Incl M96936:Homo sapiens cystic fibrosis transmembrane conductance regulator (CTFR) gene, exons 23 (3 end), 24a, and 24 (5'' end) /cds=(0,74) /gb=M96936 /gi=180293 /ug=Hs.113235 /len=317'' 
31579_at	 Cluster Incl AF005082:Homo sapiens skin-specific protein (xp33) mRNA, partial cds /cds=(0,287) /gb=AF005082 /gi=2589191 /ug=Hs.113261 /len=303 
31580_at	Kruppel-associated box protein
31581_at	 Cluster Incl U96291:Homo sapiens Ig kappa light chain variable region (VkII-A23) mRNA, complete cds /cds=(9,110) /gb=U96291 /gi=2345027 /ug=Hs.113273 /len=336 
31582_at	melanoma antigen, family B, 3
31583_at	ribosomal protein S8
31584_at	tumor protein, translationally-controlled 1
31585_at	glutamate receptor, metabotropic 7
31586_f_at	 Cluster Incl X72475:H.sapiens mRNA for rearranged Ig kappa light chain variable region (I.114) /cds=(0,421) /gb=X72475 /gi=441418 /ug=Hs.192989 /len=454 
31587_at	solute carrier family 14 (urea transporter), member 2
31588_at	 Cluster Incl AL034450:Human DNA sequence from clone 115K14 on chromosome Xq22.3-23 Contains high mobility group protein 2a, ESTs, STS /cds=(0,605) /gb=AL034450 /gi=4210359 /ug=Hs.194749 /len=730 
31589_at	gamma-aminobutyric acid (GABA) B receptor, 1
31590_g_at	gamma-aminobutyric acid (GABA) B receptor, 1
31591_s_at	complement factor H-related 4
31592_at	p65 protein
31593_at	U5 snRNP-specific protein, 200 kDa (DEXH RNA helicase family)
31594_at	keratin, hair, acidic,3A
31595_at	sarcosine dehydrogenase
31596_f_at	immunoglobulin lambda-like polypeptide 2
31597_r_at	eukaryotic translation initiation factor 4E binding protein 1
31598_s_at	galactose-4-epimerase, UDP-
31599_f_at	melanoma antigen, family A, 6
31600_s_at	postmeiotic segregation increased 2-like 1
31601_s_at	RNA binding motif protein, Y chromosome, family 1, member C
31602_at	T-box 6
31603_at	Cluster Incl W27974:40c1 Homo sapiens cDNA /gb=W27974 /gi=1307922 /ug=Hs.198819 /len=751
31604_at	neuroendocrine secretory protein 55
31605_at	 Cluster Incl U72518:Human destrin-2 pseudogene mRNA, complete cds /cds=(268,798) /gb=U72518 /gi=1673523 /ug=Hs.199299 /len=1057 
31606_at	KIAA0340 protein
31607_at	voltage-dependent anion channel 1 pseudogene
31608_g_at	voltage-dependent anion channel 1 pseudogene
31609_s_at	procollagen C-endopeptidase enhancer
31610_at	epithelial protein up-regulated in carcinoma, membrane associated protein 17
31611_s_at	BCL2-like 11 (apoptosis facilitator)
31612_at	lipophilin A (uteroglobin family member)
31613_at	laminin, beta 4
31614_at	unknown
31615_i_at	 Cluster Incl U94902:Human soluble CD44 (CD44) mRNA, with exon v9 extension, partial cds /cds=(0,95) /gb=U94902 /gi=4100167 /ug=Hs.202695 /len=127 
31616_r_at	 Cluster Incl U94902:Human soluble CD44 (CD44) mRNA, with exon v9 extension, partial cds /cds=(0,95) /gb=U94902 /gi=4100167 /ug=Hs.202695 /len=127 
31617_at	lung type-I cell membrane-associated glycoprotein
31618_at	 Cluster Incl S66666:p53=tumor suppressor {alternatively spliced, exon 9-10} [human, Molt-4, T-lymphoblastic leukemia cell line, mRNA PartialMutant, 160 nt] /cds=(0,47) /gb=S66666 /gi=436292 /ug=Hs.202717 /len=160 
31619_at	 Cluster Incl K00627:human kpni repeat mrna (cdna clone pcd-kpni-8), 3 end /cds=UNKNOWN /gb=K00627 /gi=337653 /ug=Hs.203776 /len=2126'' 
31620_at	T-box 10
31621_s_at	elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
31622_f_at	metallothionein 1F (functional)
31623_f_at	metallothionein 1A (functional)
31624_at	aristaless-like homeobox 3
31625_at	DEME-6 protein
31626_i_at	 Cluster Incl AF047485:Homo sapiens amine oxidase pseudogene mRNA, splice variant HLAO1 /cds=(134,808) /gb=AF047485 /gi=3851493 /ug=Hs.207798 /len=2073 
31627_f_at	 Cluster Incl AF047485:Homo sapiens amine oxidase pseudogene mRNA, splice variant HLAO1 /cds=(134,808) /gb=AF047485 /gi=3851493 /ug=Hs.207798 /len=2073 
31628_at	solute carrier family 15 (oligopeptide transporter), member 1
31629_at	Cluster Incl U51713:HSU51713 Homo sapiens cDNA /gb=U51713 /gi=1806581 /ug=Hs.208322 /len=707
31630_at	splicing factor (45kD)
31631_f_at	pituitary tumor-transforming 2
31632_at	zinc finger protein 259, pseudogene
31633_g_at	zinc finger protein 259, pseudogene
31634_at	proline-rich protein HaeIII subfamily 1
31635_g_at	proline-rich protein HaeIII subfamily 1
31636_s_at	solute carrier family 18 (vesicular acetylcholine), member 3
31637_s_at	nuclear receptor subfamily 1, group D, member 1
31638_at	NADH dehydrogenase (ubiquinone) Fe-S protein 7 (20kD) (NADH-coenzyme Q reductase)
31639_f_at	SRY (sex determining region Y)-box 1
31640_r_at	SRY (sex determining region Y)-box 1
31641_s_at	hypothetical protein FLJ13052
31642_at	 Cluster Incl AB007970:Homo sapiens mRNA, chromosome 1 specific transcript KIAA0501 /cds=UNKNOWN /gb=AB007970 /gi=3413945 /ug=Hs.223020 /len=4756 
31643_at	sialidase 3 (membrane sialidase)
31644_at	small inducible cytokine subfamily A (Cys-Cys), member 27
31645_at	butyrophilin-like 3
31646_at	UDP glycosyltransferase 2 family, polypeptide A1
31647_at	calpain 11
31648_at	HGC6.1.1  protein
31649_at	HGC6.1.1  protein
31650_g_at	HGC6.1.1  protein
31651_at	HGC6.2  protein
31652_at	KIAA1000 protein
31653_at	 Cluster Incl AB022847:Homo sapiens mRNA for norepinephrine transporter isoform 2, partial cds /cds=(0,161) /gb=AB022847 /gi=5360690 /ug=Hs.225971 /len=1028 
31654_at	KIAA1059 protein
31655_at	 Cluster Incl AL031737:Human DNA sequence from clone 8B22 on chromosome 1p35.1-36.21 Contains gene similar to cytoplasmic dynein light chain 1, GSSs /cds=(92,361) /gb=AL031737 /gi=4464258 /ug=Hs.225980 /len=371 
31656_at	DKFZP547J0410 protein
31657_at	DKFZP586K1520 protein
31658_at	neurogenin 3
31659_at	DKFZP434K091 protein
31660_at	DKFZP434A062 protein
31661_at	 Cluster Incl AJ243936:Homo sapiens mRNA for G16 protein (G16 gene located in the class III region of the major histocompatibility complex) /cds=(100,642) /gb=AJ243936 /gi=5578772 /ug=Hs.226019 /len=1109 
31662_at	vacuolar protein sorting 45A (yeast homolog)
31663_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax (Drosophila) homolog); translocated to, 4
31664_at	Cluster Incl W25940:15c1 Homo sapiens cDNA /gb=W25940 /gi=1306063 /ug=Hs.228064 /len=712
31665_s_at	Cluster Incl W27675:36b3 Homo sapiens cDNA /gb=W27675 /gi=1307623 /ug=Hs.228067 /len=748
31666_f_at	Cluster Incl W28731:50h6 Homo sapiens cDNA /gb=W28731 /gi=1308679 /ug=Hs.229142 /len=806
31667_r_at	Cluster Incl W27698:36f8 Homo sapiens cDNA /gb=W27698 /gi=1307664 /ug=Hs.230638 /len=688
31668_f_at	Cluster Incl W28193:43d12 Homo sapiens cDNA /gb=W28193 /gi=1308141 /ug=Hs.231096 /len=981
31669_s_at	homeo box A11
31670_s_at	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
31671_at	RNA binding motif, single stranded interacting protein 1, pseudogene
31672_g_at	RNA binding motif, single stranded interacting protein 1, pseudogene
31673_s_at	cell matrix adhesion regulator
31674_s_at	bromodomain-containing 3
31675_s_at	phosphatase and tensin homolog (mutated in multiple advanced cancers 1), pseudogene 1
31676_at	zinc finger protein 208
31677_at	 Cluster Incl U28131:Human HMGI-C chimeric transcript mRNA, partial cds /cds=(0,212) /gb=U28131 /gi=1054886 /ug=Hs.234740 /len=312 
31678_at	enolase alpha, lung-specific
31679_at	nucleoporin nup 36
31680_at	Cluster Incl M55630:Human topoisomerase I pseudogene 2 /cds=UNKNOWN /gb=M55630 /gi=339812 /ug=Hs.234751 /len=1651
31681_at	erythropoietin receptor
31682_s_at	chondroitin sulfate proteoglycan 2 (versican)
31683_at	 Cluster Incl S71020:THRA1/BTR=fusion gene {3 region, deletion/fusion rearrangement} [human, breast cancer cell line BT474, mRNA Partial Mutant, 543 nt] /cds=(0,47) /gb=S71020 /gi=546111 /ug=Hs.234755 /len=526'' 
31684_at	 Cluster Incl M62896:Human lipocortin (LIP) 2 pseudogene mRNA, complete cds-like region /cds=UNKNOWN /gb=M62896 /gi=187146 /ug=Hs.234757 /len=1342 
31685_at	FEV protein
31686_at	tubulin, beta polypeptide 4, member Q
31687_f_at	hemoglobin, beta
31688_at	skin-specific protein
31689_at	DKFZP564G092 protein
31690_at	Glutamate dehydrogenase-2
31691_g_at	Glutamate dehydrogenase-2
31692_at	heat shock 70kD protein 1B
31693_f_at	H2A histone family, member G
31694_at	regulatory solute carrier protein, family 1, member 1
31695_g_at	regulatory solute carrier protein, family 1, member 1
31696_at	RAP2B, member of RAS oncogene family
31697_s_at	ferritin, heavy polypeptide pseudogene 1
31698_at	forkhead box C2 (MFH-1, mesenchyme forkhead 1)
31699_at	phosphoinositide-3-kinase, catalytic, beta polypeptide
31700_at	G protein-coupled receptor 35
31701_r_at	B1 for mucin
31702_at	human T-cell leukemia virus enhancer factor
31703_at	cholinergic receptor, nicotinic, alpha polypeptide 6
31704_at	deoxyribonuclease I-like 2
31705_at	ARS  component B
31706_at	 Cluster Incl L13283:Homo sapiens (clone MG2-5-12) mucin (MG2) mRNA, complete polyA site /cds=UNKNOWN /gb=L13283 /gi=292518 /ug=Hs.103944 /len=2350 
31707_at	 Cluster Incl X52332:Homo sapiens mRNA for zinc finger protein 10 /cds=(70,1389) /gb=X52332 /gi=34141 /ug=Hs.104115 /len=1414 
31708_at	ribosomal protein L30
31709_at	 Cluster Incl AI812033:tw46d03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2262725 /clone_end=3'' /gb=AI812033 /gi=5398599 /ug=Hs.113252 /len=623'' 
31710_at	T cell receptor alpha variable 13-1
31711_at	glutamate receptor, ionotropic, N-methyl D-aspartate 2D
31712_at	discs, large (Drosophila) homolog-associated protein 2
31713_s_at	discs, large (Drosophila) homolog-associated protein 2
31714_at	mutS (E. coli) homolog 4
31715_at	chromosome X open reading frame 2
31716_at	 Cluster Incl L11369:Human protocadherin 42 mRNA, 3 end of cds for alternative splicing PC42-8 /cds=(0,776) /gb=L11369 /gi=307323 /ug=Hs.115642 /len=1321'' 
31717_at	protein (peptidyl-prolyl cis/trans isomerase) NIMA-interacting 1-like
31718_at	ATP-binding cassette, sub-family D (ALD), member 2
31719_at	fibronectin 1
31720_s_at	fibronectin 1
31721_at	lipoprotein, Lp(a)
31722_at	ribosomal protein L3
31723_at	cystatin D
31724_at	sonic hedgehog (Drosophila) homolog
31725_s_at	ATP-binding cassette, sub-family A (ABC1), member 2
31726_at	gamma-aminobutyric acid (GABA) A receptor, alpha 3
31727_at	ectonucleoside triphosphate diphosphohydrolase 2
31728_at	 Cluster Incl M29335:Human MHC class II DO-alpha mRNA, partial cds /cds=(0,161) /gb=M29335 /gi=188002 /ug=Hs.123041 /len=204 
31729_at	TATA box binding protein (TBP)-associated factor, RNA polymerase II, K, 18kD
31730_at	H1 histone family, member T (testis-specific)
31731_at	chromobox homolog 4 (Drosophila Pc class)
31732_at	relaxin 2 (H2)
31733_at	purinergic receptor P2X, ligand-gated ion channel, 3
31734_at	homeo box C11
31735_at	 Cluster Incl Z94277:Human DNA sequence from PAC 154K9 on chromosome Xp11.3-Xp11.4. Contains protein similar to protein phosphatase inhibitor 2 (IPP-2) ESTs and STS /cds=(0,608) /gb=Z94277 /gi=2578060 /ug=Hs.127689 /len=609 
31736_at	 Cluster Incl AA975427:oq28g02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1587698 /clone_end=3'' /gb=AA975427 /gi=3151219 /ug=Hs.128434 /len=398'' 
31737_at	actin, alpha 1, skeletal muscle
31738_at	Cluster Incl W28912:53f11 Homo sapiens cDNA /gb=W28912 /gi=1308860 /ug=Hs.129019 /len=975
31739_at	 Cluster Incl AA977513:on60e11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1561100 /clone_end=3'' /gb=AA977513 /gi=3154959 /ug=Hs.129019 /len=464'' 
31740_s_at	paired box gene 4
31741_at	paired box gene 4
31742_at	tumor necrosis factor (ligand) superfamily, member 14
31743_at	excision repair cross-complementing rodent repair deficiency, complementation group 2 (xeroderma pigmentosum D)
31744_at	thyroid hormone slfotransferase
31745_at	mucin 3A, intestinal
31746_at	 Cluster Incl AI017213:ou32b10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1627963 /clone_end=3'' /gb=AI017213 /gi=3231549 /ug=Hs.131150 /len=462'' 
31747_g_at	 Cluster Incl AI017213:ou32b10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1627963 /clone_end=3'' /gb=AI017213 /gi=3231549 /ug=Hs.131150 /len=462'' 
31748_at	 Cluster Incl AL021808:Human DNA sequence from clone 24o18 on chromosome 6p21.31-22.2 Contains zinc finger protein pseudogene, VNO-type olfactory receptor pseudogene, nuclear envelope pore membrane protein, EST, STS, GSS /cds=(0,2915) /gb=AL021808 /gi=3395 
31749_f_at	H2A histone family, member D
31750_at	H2A histone family, member D
31751_f_at	H2A histone family, member D
31752_at	Cluster Incl W25935:15b4 Homo sapiens cDNA /gb=W25935 /gi=1306058 /ug=Hs.132341 /len=701
31753_at	Cluster Incl W28887:53b4 Homo sapiens cDNA /gb=W28887 /gi=1308835 /ug=Hs.133142 /len=935
31754_at	DKFZP434G232 protein
31755_at	 Cluster Incl AI094859:qa09a09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1686232 /clone_end=3'' /gb=AI094859 /gi=3433835 /ug=Hs.134989 /len=399'' 
31756_at	Cluster Incl AL049328:Homo sapiens mRNA; cDNA DKFZp564E026 (from clone DKFZp564E026) /cds=UNKNOWN /gb=AL049328 /gi=4500102 /ug=Hs.135642 /len=1785
31757_at	Cluster Incl W27128:22g7 Homo sapiens cDNA /gb=W27128 /gi=1306662 /ug=Hs.135884 /len=701
31758_at	Cluster Incl W28876:52h7 Homo sapiens cDNA /gb=W28876 /gi=1308824 /ug=Hs.136085 /len=781
31759_at	Cluster Incl W26220:22d9 Homo sapiens cDNA /gb=W26220 /gi=1306631 /ug=Hs.136089 /len=687
31760_at	Cluster Incl W27203:24a10 Homo sapiens cDNA /gb=W27203 /gi=1306737 /ug=Hs.136089 /len=650
31761_at	Cluster Incl W27916:39f6 Homo sapiens cDNA /gb=W27916 /gi=1307882 /ug=Hs.136152 /len=831
31762_at	Cluster Incl W28605:49a7 Homo sapiens cDNA /gb=W28605 /gi=1308553 /ug=Hs.136178 /len=843
31763_at	TPCR86 protein
31764_at	KIAA0686 protein
31765_at	KIAA0694 gene product
31766_s_at	 Cluster Incl AI653069:wb23b02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2306475 /clone_end=3'' /gb=AI653069 /gi=4737048 /ug=Hs.137579 /len=437'' 
31767_at	xylulokinase (H. influenzae) homolog
31768_at	putative G-protein coupled receptor pseudogene
31769_at	wingless-type MMTV integration site family, member 8B
31770_at	Cluster Incl W27119:20e3 Homo sapiens cDNA /gb=W27119 /gi=1306491 /ug=Hs.140106 /len=711
31771_at	Cluster Incl U80770:Human EST clone 251800 mariner transposon Hsmar1 sequence /cds=UNKNOWN /gb=U80770 /gi=2921608 /ug=Hs.143439 /len=1134
31772_at	polymerase (RNA) II (DNA directed) polypeptide I (14.5kD)
31773_at	cytochrome b-561
31774_at	claudin 11 (oligodendrocyte transmembrane protein)
31775_at	surfactant, pulmonary-associated protein D
31776_at	 Cluster Incl AI446234:tj25g10.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2142594 /clone_end=3'' /gb=AI446234 /gi=4293782 /ug=Hs.156072 /len=368'' 
31777_at	muscle, skeletal, receptor tyrosine kinase
31778_at	gap junction protein, alpha 8, 50kD (connexin 50)
31779_s_at	PR domain containing 1, with ZNF domain
31780_f_at	killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3
31781_at	chromosome 17 open reading frame 1A
31782_at	prostaglandin D2 receptor (DP)
31783_at	L1 cell adhesion molecule (hydrocephalus, stenosis of aqueduct of Sylvius 1, MASA (mental retardation, aphasia, shuffling gait and adducted thumbs) syndrome, spastic paraplegia 1)
31784_at	netrin 2 (chicken)-like
31785_f_at	unnamed HERV-H protein
31905_at	galanin receptor 2
31906_at	heat shock factor binding protein 1
31907_at	ribosomal protein L14
31908_at	lunatic fringe (Drosophila) homolog
31909_at	KIAA0754 protein
31910_at	Cluster Incl U92021:Human clone 255298 defective mariner transposon Hsmar2 mRNA sequence /cds=UNKNOWN /gb=U92021 /gi=2052463 /ug=Hs.159192 /len=1268
